Nom,Date,Température,Pression au niveau mer,Humidité
TROYES-BARBEREY,2018-08-08,295.575,101367.5,67.375
ROUEN-BOOS,2018-08-08,292.425,101316.25,69.25
ORLY,2018-08-08,295.925,101295.0,57.75
BALE-MULHOUSE,2018-08-08,298.18750000000006,101310.0,61.25
TOULOUSE-BLAGNAC,2018-08-08,297.975,101370.0,65.375
LA DESIRADE METEO,2018-08-08,302.1,101712.5,72.0
TOURS,2018-08-08,294.78749999999997,101375.0,62.0
GOURDON,2018-08-08,296.7625,101385.0,62.5
LE RAIZET AERO,2018-08-08,300.7125,101742.5,77.5
NANTES-BOUGUENAIS,2018-08-08,293.74999999999994,101370.0,70.625
SAINT GEORGES,2018-08-08,300.2125,101416.25,80.625
ST GIRONS,2018-08-08,294.2125,101402.5,78.75
PERPIGNAN,2018-08-08,298.7625,101341.25,69.0
BORDEAUX-MERIGNAC,2018-09-08,293.15,101717.5,74.875
PTE DE LA HAGUE,2018-09-08,289.95,101558.75,82.0
ST-PIERRE,2018-09-08,289.9,101240.0,91.5
ALENCON,2018-09-08,289.475,,74.25
ORLY,2018-09-08,291.0125,101315.0,78.625
LIMOGES-BELLEGARDE,2018-09-08,291.20000000000005,101562.5,73.625
ABBEVILLE,2018-09-08,288.67499999999995,101313.75,84.375
STRASBOURG-ENTZHEIM,2018-09-08,296.35,101373.75,66.5
PLOUMANAC'H,2018-09-08,289.575,101687.5,73.875
RENNES-ST JACQUES,2018-09-08,289.0875,101623.75,82.75
TOURS,2018-09-08,289.875,101470.0,82.5
GILLOT-AEROPORT,2018-09-08,294.52500000000003,102271.25,67.75
REIMS-PRUNAY,2018-09-08,290.9875,101266.25,82.875
NANCY-OCHEY,2018-09-08,293.325,101345.0,77.125
BOURGES,2018-09-08,292.1625,101470.0,73.5
BALE-MULHOUSE,2018-09-08,295.05,101462.5,71.25
MONTPELLIER,2018-09-08,298.83750000000003,101527.5,79.25
LIMOGES-BELLEGARDE,2018-10-08,289.9125,102516.25,62.25
LILLE-LESQUIN,2018-10-08,290.03749999999997,102066.25,70.375
LYON-ST EXUPERY,2018-10-08,293.625,102363.75,58.25
MARIGNANE,2018-10-08,298.45,102095.0,58.75
BASTIA,2018-10-08,300.57500000000005,101941.25,63.5
LE RAIZET AERO,2018-10-08,299.22499999999997,101725.0,83.75
ORLY,2018-10-08,290.5125,102340.0,64.875
TOURS,2018-10-08,290.3,102447.5,69.625
CAYENNE-MATOURY,2018-10-08,299.675,101466.25,89.5
GILLOT-AEROPORT,2018-10-08,295.21250000000003,102508.75,71.875
CROZET,2018-10-08,276.15,,
KERGUELEN,2018-10-08,273.3375,99375.0,69.375
TROYES-BARBEREY,2018-08-14,293.225,101730.0,69.75
BOURGES,2018-08-14,293.775,101840.0,64.0
EUROPA,2018-08-14,296.6875,102153.75,82.625
REIMS-PRUNAY,2018-08-15,290.42499999999995,102063.75,76.875
BOURGES,2018-08-15,294.075,102066.25,62.25
PTE DE CHASSIRON,2018-08-15,292.5625,102136.25,89.125
